id;name;ca;mg;na;so4;cl;hco3
1;ABRAU;26.0;12.5;0.8;-1;-1;140.0;
2;ACETOSELLA;370.0;68.0;90.0;-1;-1;1290.0;
3;ACQUA ARVE';596.0;143.0;377.5;2010.0;302.0;613.0;
4;ACQUA DEL CARDINALE;39.3;0.51;0.81;0.6;3.7;122.0;
5;ACQUA DEL FAIALLO FONTE ARGENTIERA;0.8;0.85;2.85;0.8;3.1;5.3;
6;ACQUA DELLA GROTTA;-1;-1;-1;-1;-1;-1;
7;ACQUA DELLA MADONNA;367.0;69.0;82.0;-1;-1;1359.0;
9;ACQUA DI NEPI;82.0;28.0;27.0;38.0;19.0;433.0;
10;ACQUA DI TEMPIO;13.5;7.6;37.0;18.0;54.71;-1;
11;ACQUA MADONNA DELLE GRAZIE;-1;-1;-1;-1;-1;-1;
12;ACQUA MAGNA;50.5;7.54;20.7;10.7;30.13;167.75;
13;ACQUA MELLIN;5.0;1.2;0.9;-1;0.4;-1;
14;ACQUA PLINIANA;242.0;56.2;18.0;676.7;7.0;266.5;
15;ACQUA SACRA;176.2;19.9;56.0;66.5;42.5;689.3;
16;ACQUA SANTA DI CHIANCIANO;715.0;173.0;25.5;1840.0;25.2;842.0;
17;ACQUA SILVA;-1;-1;31.0;32.5;4.2;119.0;
18;ACQUA TERZIANA;-1;-1;-1;-1;-1;-1;
19;ACQUABAIDA;99.8;33.8;9.0;19.3;24.9;183.0;
20;ACQUAROSSA;120.2;150.9;158.5;-1;70.8;1108.4;
21;ACQUAVIVA;-1;-1;-1;-1;-1;-1;
22;ACQUAVIVA DELLE FONTI;-1;-1;-1;-1;-1;-1;
23;ACQUEVIVE;-1;-1;-1;-1;-1;-1;
24;AEMILIA;76.1;71.4;48.3;102.6;23.7;542.7;
25;AGABUNA;-1;-1;-1;-1;-1;-1;
26;AGNANO;384.7;75.2;306.0;362.0;319.0;1391.2;
27;ALBA;10.0;1.8;1.7;6.4;1.0;29.0;
28;ALEXANDER;-1;-1;-1;-1;-1;-1;
29;ALISEA LEONARDO PRIMALUNA;13.2;2.5;2.2;8.1;0.7;42.7;
30;ALLODOLA;390.7;145.9;108.8;76.9;137.0;1935.9;
31;ALPI BIANCHE;12.5;0.5;0.9;8.9;-1;-1;
32;ALPI COZIE;-1;0.83;2.1;4.0;1.6;-1;
33;ALPIA;5.7;3.4;3.5;4.7;1.1;33.7;
34;ALTE VETTE;11.8;0.6;0.9;8.9;-1;29.5;
35;AMATA;94.46;44.96;21.42;6.13;31.66;485.0;
36;AMBRA;92.8;51.84;48.6;-1;67.35;454.45;
37;AMBRIA;-1;-1;-1;-1;-1;-1;
38;AMERINO;157.0;8.4;11.5;-1;17.8;429.0;
39;AMICA;-1;-1;-1;-1;-1;-1;
40;AMOROSA;0.97;0.6;4.03;0.85;6.73;4.3;
41;ANGELICA;91.7;1.17;3.06;1.84;5.62;278.0;
42;ANTICA FONTE RABBI;123.4;44.9;510.0;6.8;232.0;1670.0;
43;ANTICA FONTE TARTAVALLE;521.4;99.1;12.5;1516.0;106.0;262.0;
44;APPIA;140.14;28.65;50.0;34.85;33.68;646.6;
45;AQUALIEVE;5.2;2.8;-1;-1;-1;-1;
46;AQUA PARMALAT;19.0;2.0;1.9;-1;-1;20.0;
47;ARVENIS;-1;-1;-1;-1;-1;-1;
48;ATIVA;-1;-1;-1;-1;-1;-1;
49;ATTIVA;248.0;578.0;13950.0;31020.0;50.3;1015.0;
50;AUGUSTA;-1;43.0;52.0;45.0;-1;390.0;
51;AUREA;-1;-1;-1;-1;-1;-1;
52;AURORA;632.0;4.2;5.4;1380.0;6.3;423.0;
53;AUSONIA;50.0;54.8;23.2;70.0;10.4;403.0;
54;AZZURRA;78.4;32.0;1.05;138.0;1.0;224.0;
55;BALDA;26.7;5.1;3.6;17.0;2.0;90.3;
56;BEBER-SORGENTE DOPPIO;28.0;16.0;0.5;5.0;0.9;162.0;
57;BERNINA;8.0;0.75;0.93;6.5;0.2;19.5;
58;BIA;-1;-1;-1;-1;-1;-1;
59;BOARIO;131.0;40.0;5.0;240.0;4.0;303.0;
60;BORROMEA;41.0;6.6;6.15;94.55;6.6;58.3;
61;BRACCA ANTICA FONTE;123.8;44.6;20.0;265.0;29.5;265.0;
62;CALABRIA;10.8;4.3;10.3;8.7;15.2;45.7;
63;FONTI BAUDA;4.7;1.0;3.8;4.7;4.0;16.0;
64;CALVAGNA;-1;-1;-1;-1;-1;-1;
65;CAMOREI;62.1;6.7;4.9;15.3;6.5;284.6;
66;CANAY;1.8;1.62;1.75;9.26;1.31;5.43;
67;CANCIULLE;126.9;4.8;16.1;347.0;30.0;359.1;
68;CAPANNELLE;102.61;23.36;37.0;27.3;35.45;469.7;
69;CAPPUCCINO;16.8;12.7;351.6;7.9;1.2;536.3;
70;CASTELLINA;53.0;2.8;2.2;2.2;3.5;179.0;
71;CASTELLO;64.2;32.7;0.8;8.0;1.1;349.0;
72;CAVAGRANDE;10.8;8.5;36.3;33.0;27.6;-1;
73;CECILIANA;26.43;11.17;6.6;3.0;21.27;122.0;
74;CERELIA;121.0;-1;5.9;7.6;5.6;418.0;
75;CERTOSA FONTE CAMARDA;6.2;4.12;7.8;8.4;14.89;-1;
76;CERTOSA FONTE PERNA;8.0;5.0;4.0;7.0;17.5;-1;
77;CERTOSA FONTE PIETRE BIANCHE;7.2;4.8;7.1;6.1;7.8;-1;
78;CERVA;23.8;0.4;33.7;30.5;14.0;131.4;
79;CHIARELLA;40.6;22.1;0.9;8.6;0.9;217.8;
80;CIAPPAZZI;118.0;107.0;448.0;148.0;117.0;1800.0;
81;CIME BIANCHE;11.7;1.2;1.4;8.1;-1;-1;
82;CINCIANO;273.6;46.8;125.2;105.6;70.5;1178.0;
83;CINTOIA;10.5;6.0;9.4;1.19;1.5;33.2;
84;CINZIA;92.0;8.4;9.5;13.0;7.8;317.259;
85;CISANO;-1;-1;-1;-1;-1;-1;
86;CLAUDIA;86.0;21.0;61.0;41.0;51.0;484.0;
87;CLOTIA;-1;-1;-1;-1;-1;-1;
88;COL DE'VENTI;-1;-1;-1;-1;-1;-1;
89;COLLALLI;107.5;58.3;1376.0;856.2;1851.0;539.0;
90;COLOMBO-SORGENTE ROCCHE DI VALLETTI;-1;-1;-1;-1;-1;-1;
91;CONIANO;176.0;64.0;668.0;179.0;348.1;1836.6;
92;CORALBA;54.0;21.0;0.4;8.6;0.8;255.0;
93;CORINTHIA;211.6;67.8;173.3;526.9;318.6;261.8;
94;CORONA;12.1;13.6;31.8;7.0;33.7;125.0;
95;COTTORELLA;103.96;2.84;4.99;7.09;12.55;313.7;
96;COURMAYEUR;579.0;59.0;0.7;1447.0;0.4;180.0;
97;CRISTALIA';44.0;3.5;1.5;60.8;-1;78.4;
98;CRISTALLO;3.9;4.2;11.8;1.8;17.0;18.3;
99;CRODO LISIEL;56.4;6.5;5.4;84.5;2.1;109.0;
100;CUORE DI TOSCANA;-1;-1;-1;-1;-1;-1;
101;CUTOLO RIONERO;50.0;13.1;72.4;54.0;34.0;298.0;
102;NORDA;10.8;3.0;2.3;6.3;0.6;52.3;
103;DEOGRAZIA;-1;-1;-1;-1;-1;-1;
104;DIAMANTE;153.0;44.0;730.0;377.4;333.23;1684.1;
105;DIANA;-1;-1;-1;-1;-1;-1;
106;DIPODI;40.96;20.7;33.04;23.7;37.88;224.48;
107;DOLOMITI;23.8;8.7;1.3;22.0;1.1;94.6;
108;DON CARLO;194.0;21.8;16.9;13.5;23.0;701.0;
109;DONATA;198.8;71.9;97.8;7.2;70.9;110.2;
110;DUCALE;13.4;1.4;3.0;6.8;3.7;40.0;
111;EGERIA;93.5;23.6;44.5;27.3;33.6;491.2;
112;EUREKA;66.5;30.1;33.5;-1;59.6;311.0;
113;FABIA;137.5;4.13;17.03;28.4;23.7;390.3;
114;FABRIZIA;4.0;10.7;10.88;8.0;14.2;39.663;
115;FAITO;73.0;18.0;12.0;12.6;16.6;311.1;
116;FAUSTA;-1;-1;-1;-1;-1;-1;
117;FEDERICA;10.02;3.89;85.0;18.8;73.7;124.4;
118;FELICIA;144.0;58.6;-1;-1;-1;920.0;
119;FERRARELLE;365.0;18.0;49.0;4.0;19.0;1430.0;
120;FILETTE;77.4;1.4;3.3;1.8;5.0;238.0;
121;FIUGGI;15.9;6.3;6.4;6.0;13.9;81.7;
122;FLAMINIA;71.0;1.0;2.6;2.2;5.3;216.0;
123;FLAVIA;59.4;26.9;0.7;26.9;0.6;288.0;
124;FONTALBA;-1;8.0;12.0;-1;15.6;88.0;
125;FONTANACCIO;102.2;2.7;4.7;6.2;12.0;311.0;
126;FONTE ANNIA;53.0;24.9;3.5;81.1;1.5;189.0;
127;FONTE ANTICA DEI BAGNI DI BARBARANO;-1;-1;-1;-1;-1;-1;
128;FONTE AURA;132.4;6.1;8.03;40.2;15.73;368.2;
129;FONTE AZZURRINA;14.5;1.0;3.5;2.6;4.7;43.6;
130;FONTE BRUNELLA;11.2;3.6;3.5;7.5;3.0;51.5;
131;FONTE CAUDANA;9.0;4.2;2.6;3.7;1.8;44.0;
132;FONTE CERRETO;-1;-1;-1;-1;-1;-1;
133;FONTE CORTE PARADISO;71.4;28.2;3.1;61.5;4.6;277.0;
134;FONTE DE' MEDICI;40.0;17.0;28.0;26.0;43.0;175.0;
135;FONTE DEL FARO;1134.8;9.3;63.1;40.1;162.2;312.7;
136;FONTE DEL LUPO;3.2;1.4;4.0;2.5;4.3;8.9;
137;FONTE DEL PARCO;75.0;7.5;5.5;17.6;3.2;258.2;
138;FONTE DEL ROMITO;40.0;8.1;11.2;7.6;13.5;165.0;
139;FONTE DELLA BUVERA;13.0;0.8;0.9;6.9;0.9;36.6;
140;FONTE DELLA VIRTU';5.2;0.9;3.3;4.1;3.1;15.9;
141;FONTE DELLE ALPI;-1;0.2;1.3;2.1;0.4;-1;
142;FONTE DELLE ROCCE;33.2;10.23;20.22;11.02;31.9;119.1;
143;FONTE DI ALICE;57.2;23.1;96.1;50.5;70.6;363.0;
144;FONTE DI PALME;11.3;1832.0;2902.0;3.39;5203.0;35.6;
145;FONTE DI TITO;-1;-1;-1;-1;-1;-1;
146;FONTE ELEONORA;27.0;10.4;52.0;15.12;79.79;-1;
147;FONTE ELISA;96.5;3.1;10.6;19.8;18.0;277.0;
148;FONTE GEU;-1;-1;-1;-1;-1;-1;
149;FONTE ILARIA;56.1;7.0;11.0;7.5;18.3;194.0;
150;FONTE ITALA;48.05;12.63;-1;21.87;17.73;305.0;
151;FONTE LIDIA;4.6;2.8;202.0;65.0;9.5;455.0;
152;FONTE LIETA;41.4;4.6;10.0;30.9;3.7;135.0;
153;FONTE LONERA;25.6;12.0;0.8;2.9;1.0;130.0;
154;FONTE MADDALENA;-1;-1;-1;-1;-1;-1;
155;FONTE MARGHERITA;225.0;131.0;308.0;485.0;115.0;1409.0;
156;FONTE MOLINO ALBEDOSA;601.2;328.4;3178.0;1792.7;5575.8;145.8;
157;FONTE NAPOLEONE;4.5;2.5;16.0;5.9;27.8;14.2;
158;FONTE POCENIA;-1;-1;-1;-1;-1;-1;
159;FONTE POMPEI;138.0;39.0;185.0;123.0;42.0;-1;
160;FONTE PREISTORICA;91.85;30.78;8.027;30.73;-1;396.3;
161;FONTE PRIMAVERA;89.2;17.5;4.4;23.6;5.7;329.0;
162;FONTE REALE DI VALDIERI;-1;-1;-1;-1;-1;-1;
163;FONTE REGINA;160.0;109.0;288.0;94.0;6.3;1726.0;
164;FONTE SANTA CHIARA;100.0;18.0;26.0;122.0;-1;230.0;
165;FONTE SERENA;31.2;11.9;6.5;13.4;5.4;143.0;
166;FONTE VILLA;23.1;13.0;18.0;19.0;19.2;122.0;
167;FONTE VIVIA;84.0;33.0;27.0;38.0;19.0;502.0;
168;FONTEALTA;4.8;0.2;1.5;4.3;0.5;18.4;
169;FONTECHIARA;50.2;31.0;76.0;123.3;-1;348.0;
170;FONTEDORO;4.8;1.4;6.0;4.2;10.0;16.5;
171;FONTELAURA;44.0;23.7;1.6;9.9;1.4;236.1;
172;FONTEMURA;69.7;24.4;14.8;54.6;10.2;292.8;
173;FONTENOCE;18.4;4.9;5.5;8.9;8.0;85.4;
174;FONTENOVA;8.52;31.32;5.18;12.2;3.2;180.2;
175;FONTEPATRI;74.8;27.2;81.0;54.0;47.0;421.0;
176;FONTESANA;125.0;25.0;44.0;69.0;47.0;427.0;
177;FONTEVIVA;7.8;2.0;4.4;3.2;9.0;32.9;
178;FONTI DI CRODO VALLE D'ORO;502.0;54.0;2.0;1363.0;0.6;77.5;
179;FRASASSI;99.5;4.3;19.9;24.8;19.4;299.0;
180;FRIDA;-1;-1;-1;-1;-1;-1;
181;FRISIA;16.2;2.5;2.7;13.0;1.95;48.8;
182;FRIZZARELLA;-1;-1;-1;-1;-1;-1;
183;FUCOLI;647.0;79.5;18.2;1560.0;22.7;425.0;
184;FUNTANA ABBARGHENTE;-1;-1;-1;-1;-1;-1;
185;FUNTE FRIA;26.0;7.2;103.0;16.25;157.46;99.15;
186;FUTURA;37.0;12.6;15.5;18.5;25.4;207.4;
187;GABINIA;23.5;11.11;11.2;4.49;17.31;119.1;
188;GAIA;91.7;3.0;19.5;28.0;19.9;268.5;
189;GAJUM;59.7;9.2;1.0;12.0;1.2;205.0;
190;GALLO;95.09;32.6;32.0;26.9;29.2;457.64;
191;GALVANINA;135.0;23.0;36.0;68.0;37.0;445.0;
192;GARBARINO;19.0;0.5;10.0;-1;-1;69.0;
193;GAUDENZIANA;26.4;2.2;1.6;12.0;0.6;75.6;
194;GAUDIANELLO MONTICCHIO;158.0;58.0;-1;122.0;390.0;989.0;
195;GAVERINA;108.8;27.2;6.9;118.5;-1;335.6;
196;GEMMA;-1;-1;-1;-1;-1;-1;
197;GENEROSA;-1;40.8;57.0;-1;-1;550.9;
198;GERACI;8.5;3.8;6.4;25.0;14.1;24.4;
199;GERASIA;29.5;5.2;14.5;36.7;17.4;78.6;
200;GIADA;166.0;42.0;17.0;30.3;31.0;680.0;
201;GIARA;11.22;8.99;54.0;14.39;73.14;56.1;
202;GIARDINELLA;-1;-1;-1;-1;-1;-1;
203;GIOIOSA DELLA VALSESIA;5.88;0.93;4.22;6.1;2.0;15.68;
204;GIULIA;90.0;21.3;53.0;47.0;44.0;510.0;
205;GIUNONE;-1;-1;-1;-1;-1;-1;
206;GOCCIA AZZURRA;-1;-1;-1;-1;-1;-1;
207;GOCCIA DI CARNIA;17.6;4.0;1.2;2.8;0.3;79.0;
208;GOCCIA DIAMANTE;-1;-1;-1;-1;-1;-1;
209;GRAZIA;-1;-1;-1;-1;-1;-1;
210;GUIZZA;46.0;31.0;7.7;4.6;2.8;296.0;
211;IDREA;-1;-1;-1;-1;-1;-1;
212;IGEA;-1;-1;-1;-1;-1;-1;
213;ISOLA ANTICA;-1;-1;-1;-1;-1;-1;
214;JULIA;28.5;7.9;0.25;1.8;0.3;132.0;
215;KAISERWASSER;180.0;41.0;1.2;400.0;0.6;230.0;
216;LA FRANCESCA;56.0;13.84;80.15;64.1;38.0;329.0;
217;LA VENA D'ORO;62.5;8.2;1.15;5.14;1.21;232.4;
218;LA VITTORIA;864.0;110.0;119.6;1386.0;102.8;1614.0;
219;L'AQUA;61.7;18.0;15.0;23.9;10.6;266.6;
220;LAURENTINA;230.5;36.5;98.0;124.4;35.5;1140.7;
221;LAURETANA;1.0;0.3;1.1;1.4;0.42;3.6;
222;LAVAGELLO;-1;-1;-1;-1;-1;-1;
223;LAVAREDO;310.0;72.0;2.4;840.0;1.0;234.0;
224;LE GRAZIE;-1;-1;-1;-1;-1;-1;
225;LENTULA;63.9;15.9;4.1;39.0;4.5;232.0;
226;LEONA;-1;-1;-1;-1;-1;-1;
227;LETE;321.0;17.5;5.1;8.65;7.64;1055.3;
228;LEVIA;18.3;15.7;44.0;-1;68.0;71.1;
229;LEVICO CASARA;7.0;1.2;1.0;10.0;0.54;17.0;
230;LEVISSIMA;21.0;1.7;1.9;16.9;-1;57.1;
231;LIEVE;65.0;17.0;15.3;51.0;10.3;257.0;
232;LILIA;33.9;10.5;-1;-1;-1;268.0;
233;LIMPAS;-1;-1;36.0;-1;-1;-1;
234;LIMPIA;48.0;23.3;0.42;9.4;0.78;244.0;
235;LIMPIDA;49.6;16.6;18.2;24.0;23.2;222.7;
236;LINARELLE;-1;-1;-1;-1;-1;-1;
237;LIZZARDA;-1;-1;-1;-1;-1;-1;
238;RECOARO;35.2;14.0;0.9;19.9;0.9;150.0;
239;LUCE;43.6;14.6;58.5;-1;61.0;217.0;
240;LUNA;47.6;17.2;3.5;54.8;4.6;156.2;
241;LURISIA;-1;0.35;2.7;-1;-1;18.0;
242;LYDE;118.9;51.3;30.0;35.4;49.9;591.8;
243;LYNX;53.4;4.6;2.7;9.4;4.0;180.0;
244;MADONNA DELLA  MERCEDE;104.7;44.0;30.0;71.8;30.6;486.0;
245;MADONNA DELLA GUARDIA;20.5;4.3;6.5;14.9;10.3;72.7;
246;MADONNA DELL'AMBRO;82.96;33.6;12.2;30.09;12.5;396.62;
247;MANGIATORELLA;6.2;1.6;9.8;4.7;11.8;28.9;
248;MANIVA;38.0;4.3;2.0;5.4;2.0;131.8;
249;MARGHERITA DELLA SILA;-1;-1;-1;-1;-1;-1;
250;MARZIA;302.8;87.4;10.5;540.0;17.2;610.0;
251;MAXIM'S;21.5;1.5;4.2;6.62;6.65;57.0;
252;MEO;23.5;7.71;11.92;5.0;11.8;119.0;
253;MERANER;4.3;1.3;4.0;-1;-1;16.0;
254;MIA;95.2;8.7;9.2;10.5;8.4;333.0;
255;MINIERI;-1;-1;-1;-1;-1;-1;
256;MISIA;72.2;3.4;3.22;20.34;6.88;209.0;
257;MOLINO DELLE OGNE;53.0;1.9;5.5;7.1;11.0;164.7;
258;MOLISIA;74.0;7.0;5.0;5.26;4.46;252.0;
259;MONTE BIANCO;30.0;25.0;15.0;375.0;1.0;62.0;
260;MONTE CIMONE;33.0;5.5;2.7;9.9;2.8;125.0;
261;MONTECHIARO;-1;-1;-1;-1;-1;-1;
262;MONTEFERRANTE;-1;-1;-1;-1;-1;-1;
263;MONTEFORTE;96.5;15.2;3.6;21.2;4.7;351.0;
264;MONTEVERDE;28.0;8.65;16.8;25.4;7.4;134.5;
265;MONTICELLO;48.0;20.6;48.1;19.9;29.6;384.3;
