id;name;ca;mg;na;so4;cl;hco3
266;MONTINVERNO;132.8;38.9;17.5;183.5;7.1;401.0;
267;MONVISO;-1;0.61;1.8;3.7;0.5;-1;
268;MOSCHETTA;13.6;8.8;11.7;8.4;15.0;97.6;
269;MOTETTE;55.0;1.4;5.7;8.3;10.0;163.0;
270;NATIA;35.0;4.0;32.0;3.0;16.0;213.0;
271;NEREA;55.0;0.6;1.7;2.9;4.3;171.0;
272;NEVE;34.4;5.5;3.5;1.3;1.2;136.7;
273;NINFA LEGGERA;40.0;-1;-1;13.0;24.0;280.0;
274;NIVA;-1;-1;-1;-1;-1;-1;
275;NOVA SORGENTE CESA;39.0;4.2;3.1;11.3;6.2;119.0;
276;NUOVA ACQUACHIARA;30.0;16.2;1.5;10.1;1.6;159.0;
277;NUOVA GAREISA;30.4;2.8;11.6;19.9;-1;-1;
278;ORIANNA;103.0;32.0;33.0;65.0;52.0;412.0;
279;OROBICA;67.7;18.7;18.3;28.7;9.8;292.0;
280;OROPA;-1;-1;-1;-1;-1;-1;
281;ORSINELLA;55.1;20.5;12.4;6.4;14.6;251.0;
282;PALINA;43.0;6.0;7.7;18.0;9.4;142.0;
283;PALMENSE DEL PICENO;12080.0;2131.0;3392.0;3721.0;8884.0;33600.0;
284;PANNA;32.9;6.5;6.4;21.0;9.0;106.0;
285;PARAVITA;106.7;38.7;70.2;42.2;120.0;446.0;
286;PASUBIO (ALISEA FONTE PASUBIO);57.5;28.8;1.3;50.3;1.6;259.0;
287;PEJO FONTE ALPINA;19.0;4.9;2.2;27.2;0.5;54.0;
288;PERLA;70.0;33.0;112.0;64.0;120.0;395.0;
289;PETRA PERTUSA;88.0;2.5;12.0;12.0;20.0;253.0;
290;PIAGGE DEL PRETE;-1;-1;-1;-1;-1;-1;
291;PIAN DELLA MUSSA;5.5;2.8;0.8;5.6;0.2;23.0;
292;PIC;42.0;13.2;2.9;18.0;1.5;-1;
293;PIERSANTI;457.0;117.8;210.0;379.0;283.0;1598.0;
294;PIEVE;26.9;15.8;26.7;16.2;46.1;112.8;
295;PINETA SORGENTE SALES;58.0;9.5;0.4;6.1;0.8;218.0;
296;PIODA;33.7;14.2;1.6;10.4;-1;162.0;
297;PLOSE;2.6;1.6;1.1;3.1;0.5;13.0;
298;POZZILLO;64.5;74.0;-1;255.0;198.5;-1;
299;PRACASTELLO;168.0;48.6;29.4;408.4;50.4;241.0;
300;PRADICINIO RIO DELLE GHIAIE;-1;-1;-1;-1;-1;-1;
301;PRADIS;36.4;17.0;0.6;-1;1.2;-1;
302;PRATA;150.0;11.5;4.0;-1;6.2;460.0;
303;PREALPI;83.5;21.9;20.4;57.6;14.5;315.0;
304;PRESOLANA;51.0;197.0;5.0;73.0;0.9;240.0;
305;PREZIOSA;-1;-1;-1;-1;-1;-1;
306;PRIMIA;-1;-1;-1;-1;-1;-1;
307;PRIMULA;88.5;34.4;8.8;84.3;4.4;356.8;
308;PURA;21.9;14.1;47.7;-1;59.0;134.1;
309;QUARZIA;72.78;9.45;1.5;8.31;3.4;244.0;
310;RADIOSA;87.0;15.0;8.0;20.0;6.0;308.0;
311;REALE DI TARSOGNO (ALISEA);13.0;2.2;2.9;7.4;4.3;45.0;
312;REGILLA;24.02;9.23;7.5;-1;-1;-1;
313;REGINA;657.3;119.16;5570.0;1506.0;8792.0;619.15;
314;RIVIANA;-1;-1;-1;-1;-1;-1;
315;RIVIVO;13.2;119.0;10.9;38.7;21.2;581.0;
316;ROANA;38.0;-1;0.8;0.9;1.8;112.2;
317;ROCCABIANCA;22.9;10.6;14.5;19.6;18.8;112.9;
318;ROCCA GALGANA;17.43;39.52;7.1;60.98;5.03;176.29;
319;ROCCE SARDE;15.0;8.6;108.0;23.0;-1;154.07;
320;ROCCHETTA;57.12;3.48;4.66;8.27;7.82;177.8;
321;ROCCOLO;22.0;2.06;1.16;2.1;1.44;75.5;
322;RUGIADA;65.0;17.0;15.3;51.0;103.0;257.0;
323;RUSCELLA;81.8;11.7;17.3;14.2;35.5;300.0;
324;S. ANDREA;59.8;56.0;73.0;139.0;17.2;457.5;
325;S. ANGELO;23.3;16.2;46.9;-1;80.0;116.0;
326;S. ANTONIO;33.4;5.6;3.9;1.8;1.3;134.0;
327;S. BERNARDO;15.3;2.15;1.8;5.3;3.2;50.1;
328;S. BERNARDO SORGENTE DELLA ROCCA;46.0;0.4;0.7;3.1;0.6;140.0;
329;S. BERNARDO SORGENTE ROCCIAVIVA;9.5;0.6;0.6;2.3;0.7;30.2;
330;S. CARLO;2.9;2.4;9.0;2.5;13.5;11.0;
331;S. CASSIANO;86.0;1.4;6.6;8.1;11.2;255.0;
332;S. FRANCESCO;34.1;5.6;3.8;1.4;1.8;131.0;
333;S. GIACOMO;144.02;13.84;24.97;35.74;29.16;474.66;
334;S. GIORGIO;27.0;15.0;42.6;-1;72.5;113.4;
336;S. LUCIA;105.0;66.0;250.0;-1;70.9;1159.32;
337;S. LUCIA DI CERVAREZZA;-1;-1;-1;-1;-1;-1;
338;S. LUIGI;61.3;13.8;0.9;14.0;1.9;234.9;
339;S. MARIA DEGLI ANGELI;20.8;7.3;22.1;8.4;12.6;140.0;
340;S. PELLEGRINO;164.0;49.5;31.2;402.0;49.4;243.0;
341;S. PIETRO;191.0;55.84;88.0;45.0;28.36;1073.6;
342;S. SILVESTRO;288.0;80.2;2.4;820.5;1.4;231.8;
343;SACRAMORA;117.0;23.25;47.5;114.0;61.0;340.0;
344;SACROMONTE;-1;-1;-1;-1;-1;-1;
345;SAN BENEDETTO;48.6;29.4;5.8;4.1;2.4;301.0;
346;SANCARLO SPINONE;107.2;27.2;6.3;67.0;4.3;378.3;
347;SAN CIRO;55.25;88.86;120.0;-1;-1;744.2;
348;SAN DANIELE;59.2;7.2;7.7;29.2;4.7;211.8;
349;SAN DONATO;66.4;8.2;99.3;252.0;42.5;195.2;
350;SANFAUSTINO;422.8;16.5;20.75;96.7;18.6;1281.0;
351;SAN FELICE;58.3;9.1;8.9;17.1;9.9;194.0;
352;SAN GIACOMO DI ROBURENT;-1;-1;-1;-1;-1;-1;
353;SANGIULIANO;119.0;25.0;49.0;131.0;52.0;366.0;
354;SAN GRATO;13.8;14.9;2.8;6.8;3.6;101.0;
355;SAN LORENZO;155.9;320.2;145.8;359.0;35.4;1988.0;
356;SAN LUCA;69.76;13.88;2.87;5.7;1.8;256.2;
357;SAN MARCO;312.0;90.6;20.0;4.0;116.9;1605.0;
358;SAN MARINO;110.0;8.0;8.2;14.0;11.0;360.0;
359;SAN MARTINO;167.0;50.0;750.0;281.2;290.69;2288.0;
360;SAN MATTEO;-1;-1;-1;-1;-1;-1;
361;SAN MICHELE;5.6;0.7;2.1;4.0;0.4;-1;
362;SAN MODERANNO;55.2;30.72;37.94;63.25;10.64;317.2;
363;SAN NICODEMO;-1;-1;-1;-1;-1;-1;
364;SAN PANCRAZIO;54.4;42.3;584.0;122.0;699.0;280.6;
365;SAN PANTALEO;14.6;-1;78.0;-1;-1;115.17;
366;SAN PAOLO;298.0;76.0;248.0;312.0;51.0;1921.5;
367;SAN REMO;-1;-1;-1;-1;-1;-1;
368;SAN ROCCO;77.0;42.0;6.3;25.5;55.2;392.8;
369;SAN VITO DI CANISTRO;-1;-1;-1;-1;-1;-1;
370;SANCT ZACHARIAS;107.0;11.5;8.5;109.0;10.0;250.0;
371;SANDALIA;35.7;9.24;520.0;59.9;329.0;927.0;
372;SANGEMINI;325.1;15.23;19.6;55.2;16.3;1021.0;
373;SANTA CLARA;42.5;4.65;4.1;16.1;-1;120.0;
374;SANTA CROCE SPONGA;48.1;4.57;1.23;1.3;-1;231.8;
375;SANTA MARIA;87.3;5.1;18.0;7.0;29.1;262.0;
376;SANTA REPARATA;131.0;31.0;11.0;-1;-1;-1;
377;SANTA RITA;15.0;2.9;4.5;4.5;5.4;50.5;
378;SANTA VITTORIA;52.6;8.2;1.6;22.8;0.79;175.0;
379;SANTAFIORA;66.2;32.6;110.5;66.7;127.1;386.7;
380;SANTAGATA;280.0;20.0;49.0;5.0;20.0;1140.0;
381;SANT'ANNA Rebruant;1.6;-1;1.9;3.4;-1;6.0;
382;SANT'ANNA DI VINADIO;10.5;-1;0.9;7.8;-1;26.2;
383;SANT'ANTONIO SPONGA;50.0;5.0;1.6;1.3;7.0;195.0;
384;SANT'ELENA;126.0;11.9;20.0;39.2;26.0;362.0;
385;SANTHE';-1;-1;-1;-1;-1;-1;
386;SANTO RAGGIO;-1;-1;-1;-1;-1;-1;
387;SANTO STEFANO;57.8;14.0;2.6;3.4;8.8;251.0;
388;SANTO STEFANO IN CAMPO;-1;-1;-1;-1;-1;-1;
389;SASSOVIVO;70.0;1.3;4.2;5.5;7.9;215.0;
390;SATTAI;21.24;11.18;56.0;23.06;88.24;75.0;
391;SEPINIA;74.7;4.7;4.0;3.2;4.5;264.0;
392;SERENISSIMA;-1;-1;-1;-1;-1;-1;
393;SERRICELLA;3.6;4.6;13.0;4.86;3.9;42.7;
394;SIBILLIA SCOGLIO DELLA VOLPE;-1;-1;-1;-1;-1;-1;
395;SIETE FUENTES DI S. LEONARDO;8.2;5.3;27.5;1.9;42.1;40.9;
396;SILIA;-1;-1;-1;-1;-1;-1;
397;SILVANA;85.9;27.4;27.2;92.5;10.6;341.6;
398;SMERALDA;-1;-1;-1;-1;-1;-1;
399;SMERALDINA;13.1;7.9;30.5;10.62;52.78;50.34;
400;SOLARIA;37.2;14.7;-1;-1;-1;228.0;
401;SOLE;108.0;31.1;2.6;19.3;2.9;439.3;
402;SOLFUREA;599.4;173.8;160.6;1754.0;152.2;629.5;
403;SORGENTE AZZURRA;-1;-1;-1;-1;-1;-1;
404;SORGENTE DEGLI ONTANI;32.1;11.3;5.7;12.9;8.8;143.5;
405;SORGENTE DEL CACCIATORE;64.0;2.0;2.6;4.8;-1;-1;
406;SORGENTE DELL'AMORE;94.0;13.1;12.1;22.0;14.8;336.0;
407;SORGENTE DEL TIGLIO;159.5;52.0;172.5;112.3;184.4;760.3;
408;SORGENTE GRIGNA;51.7;15.7;1.6;8.6;2.6;209.8;
409;SORGENTE LINDA;89.1;26.5;13.9;35.9;14.3;361.0;
410;SORGENTE LISSA;36.2;18.4;0.6;14.4;-1;189.0;
411;SORGENTE PERGOLI;688.0;42.7;44.1;1440.0;63.0;576.0;
412;SORGENTE SAN MICHELE;-1;-1;-1;-1;-1;-1;
413;SORGENTE SERRA POLICARETTO DELLA SILA;16.26;9.54;14.81;6.54;9.44;108.3;
414;SORGENTE TESORINO;126.8;27.9;36.8;159.4;36.6;359.9;
415;SOVRANA;74.6;39.1;6.3;14.0;-1;406.3;
416;SPAREA;-1;0.63;1.2;4.1;0.4;-1;
417;STELLA ALPINA;10.0;2.7;0.97;4.6;-1;36.6;
418;SUIO;132.13;45.16;4.0;42.8;-1;573.4;
419;SURGIVA;6.9;0.5;1.5;2.9;0.3;19.9;
420;SVEVA;241.0;39.9;-1;-1;-1;1280.0;
421;SYRMA;-1;-1;1.1;4.8;0.6;-1;
422;TALIANS;596.0;77.0;7.0;1530.0;8.0;290.0;
423;TAMERICI;802.2;138.5;6382.0;1607.0;10275.0;671.8;
424;TAVINA;80.0;25.3;12.9;21.2;8.4;366.1;
425;TELESE;387.0;73.0;135.0;57.0;158.0;830.0;
426;TETTUCCIO;392.8;64.44;2622.0;732.0;4212.0;488.0;
427;TINNEA;67.1;5.6;3.4;13.2;5.4;214.0;
428;TIONE;15.2;5.3;12.5;7.0;10.4;90.0;
429;TOKA;216.0;48.4;-1;-1;-1;1562.0;
430;TOLENTINO;116.18;29.16;52.45;-1;-1;457.5;
431;TRAFICANTE;76.1;23.7;331.5;-1;-1;714.0;
432;TRE FONTANE;61.0;9.47;7.3;-1;1.9;-1;
433;TRE SANTI;141.0;9.9;13.1;23.6;19.8;430.0;
434;TULLIA;70.8;7.65;3.19;31.8;6.89;233.0;
435;ULIVETO;171.0;27.8;74.4;104.0;78.7;574.0;
436;ULMETA;32.3;5.4;1.0;3.6;1.2;122.0;
437;URESSO;32.54;24.1;3.7;832.8;1.7;75.64;
438;VAIA;24.7;4.4;3.6;17.1;1.2;86.0;
439;VAL DI LENTRO;62.0;4.7;4.8;10.8;5.8;201.8;
440;VAL DI METI;75.27;23.3;12.0;29.2;17.3;329.6;
441;VAL MADRE;-1;-1;-1;-1;-1;-1;
442;VALBELLA;-1;-1;-1;-1;-1;-1;
443;VALBINA;7.0;2.06;1.6;2.6;1.06;32.8;
444;VALLE D'ITRIA;-1;-1;-1;-1;-1;-1;
445;VALLE REALE POPOLI;90.24;16.4;3.2;17.62;3.74;335.16;
446;VALLE STURA;9.0;0.7;1.2;5.7;-1;28.0;
447;VALLECHIARA;2.5;1.7;2.8;3.1;5.1;-1;
448;VALLICELLE;115.0;27.0;30.0;22.1;37.2;475.8;
449;VALMORA ABURU;10.0;2.9;1.4;6.3;0.29;-1;
450;VALVERDE;2.9;0.5;3.4;2.2;2.4;9.3;
451;VALVIVA;35.7;16.1;35.2;-1;9.2;270.7;
452;VARANINA;119.4;31.0;21.5;150.0;14.8;365.0;
453;VARDA;-1;-1;-1;-1;-1;-1;
454;VASCIANO;392.7;58.0;47.5;170.1;37.2;1354.2;
455;VENA D ORO;62.0;8.0;1.3;6.0;2.0;229.0;
456;VENTASSO;39.2;4.6;9.2;24.9;3.0;140.0;
457;VERA;35.9;12.6;2.0;19.2;2.6;148.0;
458;VERDE;-1;-1;-1;-1;-1;-1;
459;VERDIANA;91.3;24.0;32.0;49.8;39.7;353.8;
460;VERNA;40.3;5.4;6.5;20.0;7.7;134.2;
461;VERRUCA;119.8;40.1;94.5;73.6;140.05;480.05;
462;VESUVIO;78.4;142.9;172.0;220.2;369.0;952.8;
463;VIGEZZO;3.372;1.008;1.512;92.554;2.52;13.42;
464;VIRGINIA;-1;-1;-1;-1;-1;-1;
465;VIS;155.0;25.0;50.0;185.0;8.9;-1;
466;VISCIOLO;56.0;12.11;67.8;67.6;26.2;302.0;
467;VITAS (DANONE VITASNELLA);86.0;26.0;3.0;83.0;2.0;301.0;
468;VITASANA;52.0;14.3;12.3;33.0;20.1;201.3;
469;VITOLOGATTI;440.0;147.0;22.0;28.5;21.0;2105.0;
470;VIVA;75.0;7.8;3.6;42.0;6.0;213.0;
471;VIVIEN;24.5;7.9;-1;-1;-1;190.0;
472;ZEUS;-1;-1;-1;-1;-1;-1;
475;VITA MIA;78.4;32.0;1.05;138.0;1.0;224.0;
476;DONAT;39000.0;1.05;1.5;2.3;5800.0;7.2;
479;VALPURA;33.49;5.51;3.55;1.61;1.42;133.59;
481;s. rosalia;60.5;19.2;8.0;15.6;14.1;254.0;
482;NEVIA;6.8;2.2;11.1;6.9;10.7;42.7;
483;s.daniele - oro blu;63.0;9.6;1.4;32.0;4.6;217.2;
484;sorgente del bucaneve;71.0;27.0;4.0;46.0;6.0;-1;
485;purima;-1;-1;-1;-1;-1;-1;
486;METAURA;-1;-1;-1;-1;-1;-1;
487;CULLIGAN - IL GOCCIONE;-1;-1;-1;-1;-1;-1;
488;Alta Fonte;2.8;-1;1.2;-1;-1;-1;
489;SINCERA;4.0;-1;1.0;-1;-1;-1;
490;HQ;2.8;-1;1.2;-1;-1;-1;
491;STELLA DEL MONVISO;2.8;-1;1.2;-1;-1;-1;
492;STEPLIANS;-1;-1;-1;-1;-1;-1;
493;fabiaviva;435.0;5.17;7.08;-1;-1;1252.0;
494;Milicia;98.0;-1;57.0;39.0;-1;263.0;
495;Paraviso;68.8;7.9;1.4;8.2;2.8;233.0;
497;s.leopoldo;300.6;87.4;1508.0;1056.0;674.8;2973.0;
498;acqua forte;316.6;60.8;75.5;0.9;30.14;1433.0;
499;fonte gioiosa;35.8;15.5;3.2;12.5;6.2;149.4;
500;VALMORA FUCINE;2.1;-1;1.5;4.0;-1;6.0;
502;TORRICELLA;271.0;213.0;2006.0;360.0;389.0;410.0;
503;FONTEVIVO;46.0;10.0;29.0;36.0;31.0;181.0;
504;MONTOSO;-1;-1;1.5;4.9;0.26;-1;
505;PLINIA DEL TISONE;33.3;1.4;1.5;6.2;1.8;95.8;
506;Fonte Etrusca;104.2;94.0;122.0;44.5;106.0;569.8;
507;Antesana;327.3;257.6;2419.0;434.8;4680.0;495.5;
508;La Valligiana;2.3;-1;3.4;-1;-1;-1;
509;Dolomia;26.4;14.4;0.17;2.8;0.3;155.0;
510;Fonte vela;61.3;6.7;3.3;13.9;3.9;214.0;
511;Sorgente del Bucaneve;76.8;27.5;3.7;47.5;6.7;-1;
512;Alta Valle;41.5;4.3;4.0;4.8;-1;144.0;
513;smat russian;60.0;13.0;-1;33.0;1.3;-1;
514;smat us;23.9;3.2;-1;8.2;-1;-1;
515;Hidria;88.6;102.4;145.4;91.1;75.1;915.5;
516;Levico forte;74.0;88.0;2.75;5180.0;0.65;-1;
517;Primavera delle Alpi;21.2;9.5;3.7;8.9;3.6;95.0;
518;Primavera Fonte Delicata;77.9;28.4;3.6;46.7;8.6;305.0;
519;Fonte del Principe;3.6;1.3;11.9;3.7;8.6;30.6;
520;Eva;10.2;4.0;0.28;1.7;0.18;48.8;
521;Roncegno;-1;-1;-1;-1;-1;-1;
522;acqua destinata al consumo umano trattata al punto d'uso;-1;-1;-1;-1;-1;-1;
523;acqua neve;329.0;55.0;42.0;21.0;13.0;131.0;
524;Bracca Nuova Fonte;66.7;33.2;1.0;20.1;1.4;-1;
525;Mugniva;2.4;0.48;1.3;-1;0.61;6.2;
526;SORBELLO;2.8;1.2;6.6;-1;-1;-1;
527;Ofelia;94.0;10.0;39.0;-1;22.0;379.0;
529;Fonte essenziale;576.0;78.0;8.0;1560.0;-1;283.0;
530;Sorgesana;8800.0;1190.0;350.0;-1;560.0;32500.0;
531;Leo;6.6;2.2;13.6;5.6;9.9;42.7;
532;Vitabella;-1;-1;-1;-1;-1;47.0;
533;Sabrinella;64.6;27.6;29.1;-1;41.8;302.0;
